time: 0.14200139045715332, average: 1.4200139045715332e-05
p0 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p381 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p382 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p383 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p384 = Tree[a, {a,Tree[a, {a,a,a}]}]
p385 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p386 = Tree[a, {Tree[a, {a,a,a}],a}]
p387 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p388 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p389 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p390 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p391 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p392 = Tree[a, {Tree[a, {a,a,a}],a}]
p393 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p394 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p395 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p396 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p397 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p398 = Tree[a, {a,Tree[a, {a,a}],a}]
p399 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p400 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p401 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p402 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p403 = Tree[a, {Tree[a, {a,a,a,a}]}]
p404 = Tree[a, {Tree[a, {a,a,a}],a}]
p405 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p406 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p407 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p408 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p409 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p410 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p411 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p412 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p413 = Tree[a, {a,a,a,a,a}]
p414 = Tree[a, {a,Tree[a, {a,a}],a}]
p415 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p416 = Tree[a, {a,a,Tree[a, {a}],a}]
p417 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p418 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p419 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p420 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p421 = Tree[a, {Tree[a, {a,a}],a,a}]
p422 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p423 = Tree[a, {a,Tree[a, {a,a}],a}]
p424 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p425 = Tree[a, {Tree[a, {a,a,a}],a}]
p426 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p427 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p428 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p429 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p430 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p431 = Tree[a, {Tree[a, {a}],a,a,a}]
p432 = Tree[a, {a,a,a,Tree[a, {a}]}]
p433 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p434 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p435 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p436 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p437 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p438 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p439 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p440 = Tree[a, {a,a,Tree[a, {a}],a}]
p441 = Tree[a, {a,a,Tree[a, {a,a}]}]
p442 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p443 = Tree[a, {Tree[a, {a,a}],a,a}]
p444 = Tree[a, {Tree[a, {a,a,a,a}]}]
p445 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p446 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p447 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p448 = Tree[a, {a,a,Tree[a, {a,a}]}]
p449 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p450 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p451 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p452 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p453 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p454 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p455 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p456 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p457 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p458 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p459 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p460 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p461 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p462 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p463 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p464 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p465 = Tree[a, {a,Tree[a, {a}],a,a}]
p466 = Tree[a, {a,Tree[a, {a,a,a}]}]
p467 = Tree[a, {Tree[a, {a}],a,a,a}]
p468 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p469 = Tree[a, {Tree[a, {a}],a,a,a}]
p470 = Tree[a, {a,Tree[a, {a,a,a}]}]
p471 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p472 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p473 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p474 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p475 = Tree[a, {a,Tree[a, {a,a,a}]}]
p476 = Tree[a, {Tree[a, {a}],a,a,a}]
p477 = Tree[a, {a,a,a,Tree[a, {a}]}]
p478 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p479 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p480 = Tree[a, {a,a,a,Tree[a, {a}]}]
p481 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p482 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p483 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p484 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p485 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p486 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p487 = Tree[a, {a,Tree[a, {a,a,a}]}]
p488 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p489 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p490 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p491 = Tree[a, {a,a,Tree[a, {a,a}]}]
p492 = Tree[a, {a,a,Tree[a, {a}],a}]
p493 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p494 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p495 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p496 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p497 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p498 = Tree[a, {a,a,Tree[a, {a}],a}]
p499 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p500 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p501 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p502 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p503 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p504 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p505 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p506 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p507 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p508 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p509 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p510 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p511 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p512 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p513 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p514 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p515 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p516 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p517 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p518 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p519 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p520 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p521 = Tree[a, {a,Tree[a, {a,a}],a}]
p522 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p523 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p524 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p525 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p526 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p527 = Tree[a, {a,a,a,a,a}]
p528 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p529 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p530 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p531 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p532 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p533 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p534 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p535 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p536 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p537 = Tree[a, {Tree[a, {a,a}],a,a}]
p538 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p539 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p540 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p541 = Tree[a, {a,a,a,Tree[a, {a}]}]
p542 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p543 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p544 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p545 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p546 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p547 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p548 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p549 = Tree[a, {a,a,Tree[a, {a}],a}]
p550 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p551 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p552 = Tree[a, {a,Tree[a, {a}],a,a}]
p553 = Tree[a, {Tree[a, {a,a}],a,a}]
p554 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p555 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p556 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p557 = Tree[a, {a,Tree[a, {a,a}],a}]
p558 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p559 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p560 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p561 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p562 = Tree[a, {a,a,a,Tree[a, {a}]}]
p563 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p564 = Tree[a, {a,a,Tree[a, {a,a}]}]
p565 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p566 = Tree[a, {Tree[a, {a,a,a,a}]}]
p567 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p568 = Tree[a, {a,Tree[a, {a}],a,a}]
p569 = Tree[a, {Tree[a, {a,a,a,a}]}]
p570 = Tree[a, {Tree[a, {a,a}],a,a}]
p571 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p572 = Tree[a, {a,a,a,Tree[a, {a}]}]
p573 = Tree[a, {Tree[a, {a}],a,a,a}]
p574 = Tree[a, {a,a,Tree[a, {a}],a}]
p575 = Tree[a, {a,Tree[a, {a,a}],a}]
p576 = Tree[a, {a,Tree[a, {a,a}],a}]
p577 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p578 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p579 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p580 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p581 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p582 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p583 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p584 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p585 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p586 = Tree[a, {Tree[a, {a,a}],a,a}]
p587 = Tree[a, {Tree[a, {a,a,a}],a}]
p588 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p589 = Tree[a, {a,Tree[a, {a,a}],a}]
p590 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p591 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p592 = Tree[a, {a,Tree[a, {a,a}],a}]
p593 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p594 = Tree[a, {a,Tree[a, {a,a,a}]}]
p595 = Tree[a, {a,a,a,a,a}]
p596 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p597 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p598 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p599 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p600 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p601 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p602 = Tree[a, {Tree[a, {a,a,a,a}]}]
p603 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p604 = Tree[a, {Tree[a, {a}],a,a,a}]
p605 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p606 = Tree[a, {a,Tree[a, {a}],a,a}]
p607 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p608 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p609 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p610 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p611 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p612 = Tree[a, {a,a,a,Tree[a, {a}]}]
p613 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p614 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p615 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p616 = Tree[a, {Tree[a, {a,a,a}],a}]
p617 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p618 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p619 = Tree[a, {a,a,a,a,a}]
p620 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p621 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p622 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p623 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p624 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p625 = Tree[a, {Tree[a, {a,a}],a,a}]
p626 = Tree[a, {a,Tree[a, {a,a,a}]}]
p627 = Tree[a, {a,a,a,Tree[a, {a}]}]
p628 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p629 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p630 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p631 = Tree[a, {Tree[a, {a,a}],a,a}]
p632 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p633 = Tree[a, {a,a,a,Tree[a, {a}]}]
p634 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p635 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p636 = Tree[a, {a,a,a,Tree[a, {a}]}]
p637 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p638 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p639 = Tree[a, {a,a,Tree[a, {a,a}]}]
p640 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p641 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p642 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p643 = Tree[a, {a,a,a,a,a}]
p644 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p645 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p646 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p647 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p648 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p649 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p650 = Tree[a, {a,a,Tree[a, {a,a}]}]
p651 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p652 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p653 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p654 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p655 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p656 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p657 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p658 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p659 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p660 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p661 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p662 = Tree[a, {a,a,Tree[a, {a,a}]}]
p663 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p664 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p665 = Tree[a, {a,Tree[a, {a,a}],a}]
p666 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p667 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p668 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p669 = Tree[a, {a,a,Tree[a, {a,a}]}]
p670 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p671 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p672 = Tree[a, {Tree[a, {a}],a,a,a}]
p673 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p674 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p675 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p676 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p677 = Tree[a, {Tree[a, {a,a,a,a}]}]
p678 = Tree[a, {a,a,a,Tree[a, {a}]}]
p679 = Tree[a, {Tree[a, {a,a,a}],a}]
p680 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p681 = Tree[a, {a,a,a,a,a}]
p682 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p683 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p684 = Tree[a, {a,a,Tree[a, {a}],a}]
p685 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p686 = Tree[a, {a,Tree[a, {a,a}],a}]
p687 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p688 = Tree[a, {Tree[a, {a,a,a,a}]}]
p689 = Tree[a, {Tree[a, {a,a,a}],a}]
p690 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p691 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p692 = Tree[a, {a,a,Tree[a, {a,a}]}]
p693 = Tree[a, {Tree[a, {a,a,a}],a}]
p694 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p695 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p696 = Tree[a, {a,a,a,a,a}]
p697 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p698 = Tree[a, {Tree[a, {a}],a,a,a}]
p699 = Tree[a, {Tree[a, {a,a,a,a}]}]
p700 = Tree[a, {a,a,a,Tree[a, {a}]}]
p701 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p702 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p703 = Tree[a, {a,Tree[a, {a,a,a}]}]
p704 = Tree[a, {a,a,Tree[a, {a}],a}]
p705 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p706 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p707 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p708 = Tree[a, {Tree[a, {a,a}],a,a}]
p709 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p710 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p711 = Tree[a, {a,Tree[a, {a,a,a}]}]
p712 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p713 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p714 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p715 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p716 = Tree[a, {a,a,Tree[a, {a}],a}]
p717 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p718 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p719 = Tree[a, {a,Tree[a, {a,a}],a}]
p720 = Tree[a, {a,Tree[a, {a,a,a}]}]
p721 = Tree[a, {a,a,a,a,a}]
p722 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p723 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p724 = Tree[a, {a,Tree[a, {a,a}],a}]
p725 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p726 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p727 = Tree[a, {Tree[a, {a,a}],a,a}]
p728 = Tree[a, {Tree[a, {a,a,a,a}]}]
p729 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p730 = Tree[a, {a,a,a,a,a}]
p731 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p732 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p733 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p734 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p735 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p736 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p737 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p738 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p739 = Tree[a, {a,Tree[a, {a,a}],a}]
p740 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p741 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p742 = Tree[a, {a,Tree[a, {a,a}],a}]
p743 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p744 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p745 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p746 = Tree[a, {a,a,Tree[a, {a}],a}]
p747 = Tree[a, {a,a,Tree[a, {a}],a}]
p748 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p749 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p750 = Tree[a, {a,Tree[a, {a,a}],a}]
p751 = Tree[a, {Tree[a, {a}],a,a,a}]
p752 = Tree[a, {a,Tree[a, {a,a,a}]}]
p753 = Tree[a, {a,Tree[a, {a}],a,a}]
p754 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p755 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p756 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p757 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p758 = Tree[a, {a,a,Tree[a, {a}],a}]
p759 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p760 = Tree[a, {a,Tree[a, {a,a}],a}]
p761 = Tree[a, {a,a,a,a,a}]
p762 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p763 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p764 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p765 = Tree[a, {Tree[a, {a}],a,a,a}]
p766 = Tree[a, {a,a,a,a,a}]
